programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
ESPECIALIZACION EN DERECHO ADMINISTRATIVO,Posgrado,Polinómico,15.6,MEDIA,125,166,211,261,224,299,108.8,638,414,1
ESPECIALIZACION EN CONTRATACION ESTATAL,Posgrado,Polinómico,49.3,BAJA,59,90,123,163,130,196,176.3,376,161,2
ESPECIALIZACION EN DERECHO PENAL Y PROCESAL PENAL,Posgrado,Holt,53.5,BAJA,73,94,124,153,89,217,109.6,371,171,3
ESPECIALIZACION EN GERENCIA DE PROYECTOS DE CONSTRUCCION,Posgrado,Lineal,5.8,ALTA,87,92,100,107,75,140,23.0,299,429,4
ESPECIALIZACION EN ESTRUCTURAS,Posgrado,Holt,11.6,ALTA,74,74,82,89,68,109,20.3,245,318,5
