programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
ESPECIALIZACION EN GERENCIA DE INSTITUCIONES DE SEGURIDAD SOCIAL EN SALUD,Posgrado,SES,297.9,BAJA,2,8,8,8,0,30,300.0,24,31,1
ESPECIALIZACION EN CONTRATACION ESTATAL,Posgrado,Polinómico,49.3,BAJA,59,90,123,163,130,196,176.3,376,161,2
ESPECIALIZACION EN DERECHO PENAL Y PROCESAL PENAL,Posgrado,Holt,53.5,BAJA,73,94,124,153,89,217,109.6,371,171,3
ESPECIALIZACION EN DERECHO ADMINISTRATIVO,Posgrado,Polinómico,15.6,MEDIA,125,166,211,261,224,299,108.8,638,414,4
ESPECIALIZACION EN AUDITORIA DE SALUD,Posgrado,Polinómico,5.0,ALTA,29,35,43,52,38,66,79.3,130,148,5
