programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024
ADMINISTRACION DE EMPRESAS,Pregrado,SES,5.7,ALTA,71,71,71,71,38,104,0.0,213,387
ARQUITECTURA,Pregrado,Lineal,1.7,ALTA,94,96,97,99,55,143,5.3,292,630
CONTADURIA PUBLICA,Pregrado,SES,25.9,MEDIA,42,45,45,45,18,73,7.1,135,318
DERECHO,Pregrado,SES,37.5,BAJA,121,145,145,145,12,279,19.8,435,1016
INGENIERIA CIVIL,Pregrado,Polinómico,14.1,ALTA,101,78,46,11,0,49,-89.1,135,1063
INGENIERIA DE SISTEMAS,Pregrado,Lineal,28.8,MEDIA,30,26,28,30,3,58,0.0,84,129
INGENIERIA ELECTRONICA,Pregrado,SES,47.7,BAJA,20,22,22,22,1,43,10.0,66,153
NEGOCIOS INTERNACIONALES,Pregrado,Holt,22.7,MEDIA,85,104,115,126,83,169,48.2,345,411
