programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
INGENIERIA CIVIL,Pregrado,Polinómico,14.1,ALTA,101,78,46,11,0,49,-89.1,135,1063,1
INGENIERIA DE SISTEMAS,Pregrado,Lineal,28.8,MEDIA,30,26,28,30,3,58,0.0,84,129,2
ADMINISTRACION DE EMPRESAS,Pregrado,SES,5.7,ALTA,71,71,71,71,38,104,0.0,213,387,3
ARQUITECTURA,Pregrado,Lineal,1.7,ALTA,94,96,97,99,55,143,5.3,292,630,4
CONTADURIA PUBLICA,Pregrado,SES,25.9,MEDIA,42,45,45,45,18,73,7.1,135,318,5
