CIIU_PRINCIPAL,total,activas,tasa_activas,pct_del_total,descripcion
9499,216,189,87.5,2.41,Otras asociaciones
6910,30,22,73.3,0.33,Otro
6810,89,65,73.0,0.99,Inmobiliario
7020,72,51,70.8,0.8,Otro
4111,86,53,61.6,0.96,Otro
6820,30,18,60.0,0.33,Otro
4620,35,21,60.0,0.39,Otro
8621,31,18,58.1,0.35,Otro
4321,35,19,54.3,0.39,Otro
4631,47,25,53.2,0.52,Otro
2511,32,17,53.1,0.36,Otro
4330,54,28,51.9,0.6,Otro
4774,39,20,51.3,0.43,Otro
7110,50,25,50.0,0.56,Otro
4663,34,17,50.0,0.38,Otro
