CIIU_PRINCIPAL,n_activas,descripcion,pct_en_cohorte,cohorte,total_cohorte,activas_cohorte,tasa_supervivencia
9499,93,Otras asociaciones,10.7,Más de 10 años (≤2014),4092,871,21.3
9999,41,Sin clasificar,4.7,Más de 10 años (≤2014),4092,871,21.3
NAN,38,Otro,4.4,Más de 10 años (≤2014),4092,871,21.3
4711,25,Supermercados,2.9,Más de 10 años (≤2014),4092,871,21.3
4290,21,Construcción,2.4,Más de 10 años (≤2014),4092,871,21.3
1410,16,Confección,1.8,Más de 10 años (≤2014),4092,871,21.3
4773,15,Farmacias,1.7,Más de 10 años (≤2014),4092,871,21.3
4111,15,Otro,1.7,Más de 10 años (≤2014),4092,871,21.3
