CIIU_PRINCIPAL,n_activas,descripcion,pct_en_cohorte,cohorte,total_cohorte,activas_cohorte,tasa_supervivencia
9499,13,Otras asociaciones,7.6,Hace 3 años (2021),351,171,48.7
5611,9,Restaurantes,5.3,Hace 3 años (2021),351,171,48.7
6810,9,Inmobiliario,5.3,Hace 3 años (2021),351,171,48.7
5630,6,Bares/cantinas,3.5,Hace 3 años (2021),351,171,48.7
9602,6,Peluquerías,3.5,Hace 3 años (2021),351,171,48.7
4711,6,Supermercados,3.5,Hace 3 años (2021),351,171,48.7
4773,5,Farmacias,2.9,Hace 3 años (2021),351,171,48.7
4771,5,Tiendas ropa,2.9,Hace 3 años (2021),351,171,48.7
