programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
ESPECIALIZACION EN DIRECCION Y GESTION DE LA CALIDAD,Posgrado,Polinómico,21.2,MEDIA,91,156,245,357,346,369,292.3,758,256,1
MAESTRIA EN DERECHO PENAL,Posgrado,Polinómico,71.8,BAJA,50,67,96,131,103,158,162.0,294,98,2
MAESTRIA EN EDUCACION,Posgrado,SES,210.5,BAJA,5,10,10,10,0,326,100.0,30,501,3
MAESTRIA EN PLANEACION PARA EL DESARROLLO,Posgrado,SES,68.8,BAJA,7,12,12,12,0,32,71.4,36,83,4
ESPECIALIZACION EN GERENCIA DE EMPRESAS AGROPECUARIAS,Posgrado,Lineal,104.7,BAJA,4,7,7,6,0,29,50.0,20,65,5
