programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
ESPECIALIZACION EN DIRECCION Y GESTION DE LA CALIDAD,Posgrado,Polinómico,21.2,MEDIA,91,156,245,357,346,369,292.3,758,256,1
ESPECIALIZACION EN DERECHO ADMINISTRATIVO,Posgrado,SES,8.0,ALTA,197,208,208,208,129,287,5.6,624,1453,2
MAESTRIA EN DERECHO PENAL,Posgrado,Polinómico,71.8,BAJA,50,67,96,131,103,158,162.0,294,98,3
ESPECIALIZACION EN GERENCIA EMPRESARIAL,Posgrado,SES,18.3,MEDIA,98,93,93,93,26,160,-5.1,279,685,4
ESPECIALIZACION EN PATOLOGIA DE LA CONSTRUCCION,Posgrado,SES,16.5,MEDIA,91,84,84,84,49,119,-7.7,252,587,5
