programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
DERECHO,Pregrado,SES,10.4,ALTA,228,228,228,228,133,323,0.0,684,1396,1
NEGOCIOS INTERNACIONALES,Pregrado,Holt,7.6,ALTA,157,174,187,201,67,335,28.0,562,833,2
ARQUITECTURA,Pregrado,Lineal,30.6,BAJA,148,173,186,199,73,326,34.5,558,839,3
ODONTOLOGIA,Pregrado,SES,24.2,MEDIA,143,131,131,131,18,244,-8.4,393,918,4
ADMINISTRACION DE EMPRESAS AGROPECUARIAS,Pregrado,Holt,24.6,MEDIA,47,50,55,60,19,101,27.7,165,205,5
