programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
INGENIERIA INDUSTRIAL,Pregrado,Polinómico,40.7,BAJA,43,21,0,0,0,67,-100.0,21,412,1
ODONTOLOGIA,Pregrado,SES,24.2,MEDIA,143,131,131,131,18,244,-8.4,393,918,2
"CULTURA FISICA, DEPORTE Y RECREACION",Pregrado,SES,24.6,MEDIA,60,58,58,58,19,97,-3.3,174,338,3
DERECHO,Pregrado,SES,10.4,ALTA,228,228,228,228,133,323,0.0,684,1396,4
CONTADURIA PUBLICA,Pregrado,SES,20.6,MEDIA,46,46,46,46,6,86,0.0,138,346,5
