programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
INGENIERIA INDUSTRIAL,Pregrado,Polinómico,40.7,BAJA,43,21,0,0,0,67,-100.0,21,412,1
INGENIERIA DE TELECOMUNICACIONES,Pregrado,SES,33.3,BAJA,8,9,9,9,0,28,12.5,27,66,2
ADMINISTRACION DE EMPRESAS,Pregrado,SES,55.8,BAJA,20,27,27,27,0,59,35.0,81,191,3
TECNOLOGIA EN LABORATORIO DENTAL,Pregrado,SES,7.8,ALTA,26,28,28,28,4,51,7.7,84,193,4
QUIMICA AMBIENTAL,Pregrado,Polinómico,19.2,MEDIA,9,14,20,29,18,39,222.2,63,81,5
