anio,Bogotá,Bucaramanga,Tunja
2018,4693.0,1509.0,757.0
2019,4142.0,1412.0,910.0
2020,4162.0,1209.0,837.0
2021,4674.0,1305.0,1119.0
2022,4206.0,1708.0,1205.0
2023,4424.0,1844.0,1213.0
2024,4603.0,2012.0,1398.0
