programa,total_2018_2024,modelo,mape_pct,confianza,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,mape_Lineal,mape_Polinómico,mape_SES,mape_Holt
ESPECIALIZACION EN DERECHO PENAL,209,Lineal,26.5,MEDIA,36,37,38,0,80,26.5,60.9,26.8,32.6
ESPECIALIZACION EN GESTION TERRITORIAL Y AVALUOS,203,Lineal,13.9,ALTA,25,24,23,0,46,13.9,53.4,20.5,14.2
"MAESTRIA EN DEFENSA DE LOS DERECHOS HUMANOS Y DEL DERECHO INTERNACIONAL HUMANITARIO ANTE ORGANISMOS, TRIBUNALES Y CORTES INTERNACIONALES",202,SES,27.4,MEDIA,55,55,55,1,110,29.4,36.1,27.4,32.0
ESPECIALIZACION EN ADMINISTRACION DEPORTIVA,200,Lineal,8.7,ALTA,50,56,61,15,108,8.7,32.8,45.2,8.7
TECNOLOGIA EN LABORATORIO DENTAL,193,SES,7.8,ALTA,28,28,28,0,60,40.3,45.4,7.8,40.3
ESPECIALIZACION EN GERENCIA TRIBUTARIA,190,Polinómico,67.3,BAJA,19,15,9,0,80,133.9,67.3,107.8,133.9
ESPECIALIZACION EN AUTOMATIZACION INDUSTRIAL,176,SES,29.9,MEDIA,25,25,25,0,73,37.0,51.8,29.9,37.0
ESPECIALIZACION EN INTERVENTORIA Y SUPERVISION DE LA CONSTRUCCION,172,Polinómico,95.5,BAJA,50,62,76,21,132,129.9,95.5,99.6,139.7
ESPECIALIZACION EN PEDAGOGIA PARA LA EDUCACION SUPERIOR,171,SES,32.4,BAJA,24,24,24,0,115,48.8,38.9,32.4,48.8
ESPECIALIZACION EN DERECHO PENAL Y PROCESAL PENAL,171,Holt,53.5,BAJA,94,124,153,63,243,53.5,58.6,70.0,53.5
MAESTRIA EN DERECHO PUBLICO,167,SES,10.8,ALTA,24,24,24,0,68,35.7,52.6,10.8,35.7
MAESTRIA EN PEDAGOGIA,165,Holt,77.1,BAJA,13,11,8,0,46,77.1,102.4,97.7,77.1
ESPECIALIZACION EN REVISORIA FISCAL Y AUDITORIA EXTERNA,164,SES,31.0,BAJA,27,27,27,0,74,58.9,54.7,31.0,58.9
ESPECIALIZACION EN FINANZAS PUBLICAS,161,SES,36.1,BAJA,23,23,23,0,98,66.8,53.4,36.1,66.8
MAESTRIA EN ADMINISTRACION - MBA,154,Lineal,48.7,BAJA,16,14,12,0,71,48.7,169.2,60.4,48.7
MAESTRIA EN PSICOLOGIA CLINICA Y DE LA FAMILIA,154,SES,10.6,ALTA,22,22,22,0,57,24.0,34.3,10.6,24.0
ESPECIALIZACION EN ADMINISTRACION Y GERENCIA DE SISTEMAS DE LA CALIDAD,153,SES,33.2,BAJA,13,13,13,0,69,62.5,121.0,33.2,62.5
ESPECIALIZACION EN INNOVACION Y MARKETING,145,SES,38.7,BAJA,29,29,29,0,80,68.1,92.6,38.7,68.1
MAESTRIA EN ACTIVIDAD FISICA PARA LA SALUD,138,SES,2.9,ALTA,20,20,20,0,64,41.0,42.1,2.9,41.0
INGENIERIA EN INFORMATICA,135,SES,20.2,MEDIA,19,19,19,0,46,48.0,75.5,20.2,48.0
ESPECIALIZACION EN GESTION PARA EL DESARROLLO EMPRESARIAL,133,Lineal,33.3,BAJA,12,10,9,0,40,33.3,152.8,54.2,52.6
ESPECIALIZACION EN GERENCIA DE NEGOCIOS INTERNACIONALES,130,SES,27.9,MEDIA,11,11,11,0,36,83.5,51.3,27.9,83.5
INGENIERIA DE SISTEMAS,129,Lineal,28.8,MEDIA,26,28,30,0,61,28.8,29.3,35.4,28.8
INGENIERIA MECATRONICA,126,Polinómico,5.5,ALTA,34,41,49,22,75,15.7,5.5,36.3,15.7
MAESTRIA EN INFRAESTRUCTURA VIAL,124,Holt,26.8,MEDIA,10,8,6,0,61,26.8,149.7,49.6,26.8
ESPECIALIZACION EN ORDENAMIENTO Y GESTION INTEGRAL DE CUENCAS HIDROGRAFICAS,123,Polinómico,160.0,BAJA,0,0,0,0,33,466.3,160.0,495.0,466.3
"LICENCIATURA EN FILOSOFIA, PENSAMIENTO POLITICO Y ECONOMICO",119,SES,385.0,BAJA,1,1,1,0,37,712.1,815.0,385.0,688.7
MAESTRIA EN SALUD PUBLICA,119,Polinómico,150.6,BAJA,0,0,0,0,49,606.9,150.6,942.7,606.9
LICENCIATURA EN TEOLOGIA,118,Polinómico,16.9,MEDIA,27,32,39,28,49,17.2,16.9,25.3,17.2
LICENCIATURA EN EDUCACION INFANTIL,117,Holt,42.5,BAJA,62,75,88,49,126,42.5,61.3,58.9,42.5
ESPECIALIZACION EN AUDITORIA Y ADMINISTRACION DE LA INFORMACION TRIBUTARIA,116,SES,4.6,ALTA,17,17,17,0,38,9.6,8.1,4.6,9.6
LICENCIATURA EN FILOSOFIA Y LENGUA CASTELLANA,115,SES,40.6,BAJA,16,16,16,0,55,41.7,72.0,40.6,41.8
ESPECIALIZACION EN GOBIERNO Y GESTION TERRITORIAL,113,Holt,44.1,BAJA,20,21,22,0,69,44.1,79.7,88.7,44.1
LICENCIATURA EN BIOLOGIA CON ENFASIS EN EDUCACION AMBIENTAL,109,SES,112.4,BAJA,5,5,5,0,45,174.8,210.7,112.4,167.3
DOCTORADO EN EDUCACION,109,Lineal,30.1,BAJA,23,25,27,0,55,30.1,31.1,41.4,30.1
MAESTRIA EN DERECHO,109,Holt,50.8,BAJA,11,10,9,0,62,50.8,193.3,52.1,50.8
ESPECIALIZACION EN DERECHO CONSTITUCIONAL,105,SES,13.7,ALTA,15,15,15,0,49,75.3,64.5,13.7,75.3
LICENCIATURA EN LENGUA CASTELLANA Y LITERATURA,104,Holt,28.9,MEDIA,7,4,2,0,15,28.9,60.6,41.4,28.9
ESPECIALIZACION EN SEGMENTO ANTERIOR Y LENTES DE CONTACTO,100,SES,25.1,MEDIA,14,14,14,0,39,31.0,86.1,25.1,31.0
MAESTRIA EN DERECHO PENAL,98,Polinómico,71.8,BAJA,67,96,131,100,162,74.0,71.8,72.0,74.0
ESPECIALIZACION EN DERECHO TRIBUTARIO,91,SES,72.6,BAJA,18,18,18,0,55,110.3,193.1,72.6,110.3
TEOLOGIA,89,Lineal,39.2,BAJA,12,12,12,0,36,39.2,80.5,40.5,39.2
LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN HUMANIDADES Y LENGUA CASTELLANA,84,SES,0.0,ALTA,3,3,3,0,34,253.3,38.3,0.0,253.3
MAESTRIA EN PLANEACION PARA EL DESARROLLO,83,SES,68.8,BAJA,12,12,12,0,40,118.2,183.2,68.8,118.2
ESPECIALIZACION EN ORTODONCIA,82,SES,4.6,ALTA,12,12,12,5,18,6.1,23.6,4.6,6.1
