programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
MAESTRIA EN DERECHO PRIVADO,Posgrado,Polinómico,106.5,BAJA,2,0,0,0,0,14,-100.0,0,55,1
MAESTRIA EN FILOSOFIA LATINOAMERICANA,Posgrado,Polinómico,62.5,BAJA,2,0,0,0,0,10,-100.0,0,41,2
MAESTRIA EN DIRECCION Y GESTION DE PROYECTOS,Posgrado,Polinómico,38.2,BAJA,95,45,0,0,0,125,-100.0,45,314,3
MAESTRIA EN PSICOLOGIA JURIDICA,Posgrado,Polinómico,81.1,BAJA,11,0,0,0,0,51,-100.0,0,223,4
MAESTRIA EN SALUD PUBLICA,Posgrado,Polinómico,150.6,BAJA,1,0,0,0,0,43,-100.0,0,119,5
