programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
ESPECIALIZACION EN DERECHO ADMINISTRATIVO,Posgrado,SES,11.333333333333334,ALTA,370,423,468,518,355,682,40.0,1409,2209,1
ESPECIALIZACION EN DIRECCION Y GESTION DE LA CALIDAD,Posgrado,Polinómico,24.75,MEDIA,110,170,259,371,346,405,237.3,800,313,2
ESPECIALIZACION EN CONTRATACION ESTATAL,Posgrado,Polinómico,32.449999999999996,BAJA,99,136,179,232,185,279,134.3,547,388,3
ESPECIALIZACION EN SEGURIDAD Y SALUD EN EL TRABAJO,Posgrado,SES,31.9,BAJA,210,210,210,210,45,375,0.0,630,559,4
ESPECIALIZACION EN DERECHO PENAL Y PROCESAL PENAL,Posgrado,Holt,53.5,BAJA,73,94,124,153,89,217,109.6,371,171,5
