programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
DERECHO,Pregrado,SES,18.099999999999998,ALTA,693,693,693,693,251,1136,0.0,2079,4650,1
NEGOCIOS INTERNACIONALES,Pregrado,Holt,10.700000000000001,ALTA,446,482,506,531,240,823,19.1,1519,2675,2
ARQUITECTURA,Pregrado,Lineal,13.0,ALTA,326,385,437,497,307,689,52.5,1319,1866,3
ADMINISTRACION DE EMPRESAS,Pregrado,SES,21.566666666666666,ALTA,334,326,316,306,154,463,-8.4,948,2467,4
INGENIERIA CIVIL,Pregrado,Polinómico,11.2,ALTA,343,321,289,254,83,451,-25.9,864,2619,5
