programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
COMUNICACION SOCIAL,Pregrado,Lineal,26.4,MEDIA,70,35,17,0,0,138,-100.0,52,742,1
LICENCIATURA EN EDUCACION PREESCOLAR,Pregrado,Holt,140.7,BAJA,10,16,7,0,0,81,-100.0,23,342,2
LICENCIATURA EN FILOSOFIA Y EDUCACION RELIGIOSA,Pregrado,Holt,21.5,MEDIA,1,0,0,0,0,16,-100.0,0,226,3
LICENCIATURA EN INFORMATICA EDUCATIVA,Pregrado,Holt,75.0,BAJA,2,1,0,0,0,6,-100.0,1,48,4
LICENCIATURA EN LENGUA CASTELLANA Y LITERATURA,Pregrado,Holt,28.9,MEDIA,8,7,4,2,0,12,-75.0,13,104,5
