programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
QUIMICA AMBIENTAL,Pregrado,Polinómico,19.2,MEDIA,9,14,20,29,18,39,222.2,63,81,1
LICENCIATURA EN BIOLOGIA,Pregrado,Polinómico,6.5,ALTA,37,54,74,97,97,97,162.2,225,76,2
LICENCIATURA EN LITERATURA Y LENGUA CASTELLANA,Pregrado,Lineal,82.4,BAJA,11,20,23,25,0,51,127.3,68,62,3
LICENCIATURA EN TEOLOGIA,Pregrado,Polinómico,16.9,MEDIA,21,27,32,39,30,48,85.7,98,118,4
INGENIERIA MECATRONICA,Pregrado,Polinómico,5.5,ALTA,28,34,41,49,26,72,75.0,124,126,5
