programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
LICENCIATURA EN BIOLOGIA,Pregrado,Polinómico,6.5,ALTA,37,54,74,97,97,97,162.2,225,76,1
ARQUITECTURA,Pregrado,Polinómico,6.7,ALTA,84,116,154,199,179,220,136.9,469,397,2
LICENCIATURA EN LITERATURA Y LENGUA CASTELLANA,Pregrado,Lineal,82.4,BAJA,11,20,23,25,0,51,127.3,68,62,3
LICENCIATURA EN TEOLOGIA,Pregrado,Polinómico,16.9,MEDIA,21,27,32,39,30,48,85.7,98,118,4
GOBIERNO Y RELACIONES INTERNACIONALES,Pregrado,Holt,52.0,BAJA,50,78,82,86,38,134,72.0,246,422,5
