programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
DERECHO,Pregrado,SES,6.4,ALTA,344,320,320,320,106,534,-7.0,960,2238,1
INGENIERIA CIVIL,Pregrado,SES,8.3,ALTA,242,243,243,243,83,402,0.4,729,1556,2
ADMINISTRACION DE EMPRESAS,Pregrado,Holt,3.2,ALTA,243,228,218,208,116,300,-14.4,654,1889,3
NEGOCIOS INTERNACIONALES,Pregrado,SES,1.8,ALTA,204,204,204,204,90,319,0.0,612,1431,4
ARQUITECTURA,Pregrado,Polinómico,6.7,ALTA,84,116,154,199,179,220,136.9,469,397,5
