programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS,Pregrado,Polinómico,166.7,BAJA,0,0,0,0,0,16,,0,81,1
LICENCIATURA EN INFORMATICA EDUCATIVA,Pregrado,Holt,75.0,BAJA,2,1,0,0,0,6,-100.0,1,48,2
LICENCIATURA EN EDUCACION PREESCOLAR,Pregrado,Holt,140.7,BAJA,10,16,7,0,0,81,-100.0,23,342,3
LICENCIATURA EN FILOSOFIA Y EDUCACION RELIGIOSA,Pregrado,Holt,21.5,MEDIA,1,0,0,0,0,16,-100.0,0,226,4
"LICENCIATURA EN FILOSOFIA, ETICA Y VALORES HUMANOS",Pregrado,Holt,46.4,BAJA,0,2,1,0,0,4,,3,45,5
