programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
MAESTRIA EN CIENCIAS CONTABLES,Posgrado,Lineal,21.4,MEDIA,4,0,0,0,0,9,-100.0,0,37,1
ESPECIALIZACION EN GERENCIA DE INFORMACION FINANCIERA,Posgrado,Lineal,575.0,BAJA,3,0,0,0,0,37,-100.0,0,37,2
MAESTRIA EN DIRECCION Y GESTION DE PROYECTOS,Posgrado,Polinómico,38.2,BAJA,95,45,0,0,0,125,-100.0,45,314,3
ESPECIALIZACION EN GERENCIA DE INSTITUCIONES DE SEGURIDAD SOCIAL EN SALUD,Posgrado,Lineal,33.6,BAJA,15,8,5,2,0,22,-86.7,15,147,4
ESPECIALIZACION EN DERECHO DE LAS RELACIONES LABORALES,Posgrado,Lineal,108.6,BAJA,12,5,4,3,0,25,-75.0,12,65,5
