programa,nivel,modelo,mape_pct,confianza,grad_2024,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,crecimiento_pct,total_pred_2025_2027,total_2018_2024,ranking
ESPECIALIZACI¿N EN GERENCIA DE NEGOCIOS INTERNACIONALES,Posgrado,SES,500.0,BAJA,2,13,13,13,0,70,550.0,39,52,1
ESPECIALIZACION EN DERECHO PROCESAL,Posgrado,Polinómico,25.3,MEDIA,55,63,82,106,79,133,92.7,251,306,2
ESPECIALIZACION EN CONTRATACION ESTATAL,Posgrado,Polinómico,15.6,MEDIA,40,46,56,69,55,83,72.5,171,227,3
ESPECIALIZACION EN INTERVENTORIA Y SUPERVISION DE LA CONSTRUCCION,Posgrado,Polinómico,95.5,BAJA,53,50,62,76,28,125,43.4,188,172,4
ESPECIALIZACION EN ADMINISTRACION DEPORTIVA,Posgrado,Lineal,8.7,ALTA,45,50,56,61,18,104,35.6,167,200,5
